Rk,Player,Pos,Age,Type,OTm,2018-19 Stats,WS,NTm,Terms,Notes
57,Tyus Jones\jonesty01,G,23-090,RFA,MIN,6.9 Pts 2.0 Reb 4.8 Ast,3,MEM,Signed 3-yr $26.44M offer sheet,
58,Boban Marjanovic\marjabo01,C,30-358,UFA,PHI,7.3 Pts 4.6 Reb 0.9 Ast,3,DAL,Reportedly agreed to 2-yr $7M deal,
59,Derrick Rose\rosede01,G,30-308,UFA,MIN,18.0 Pts 2.7 Reb 4.3 Ast,3,DET,Signed 2-yr $15M contract,
61,JaMychal Green\greenja01,F,29-048,UFA,LAC,9.4 Pts 6.3 Reb 0.8 Ast,2.9,LAC,Signed 2-yr $9.77M contract,
62,T.J. McConnell\mccontj01,G,27-136,UFA,PHI,6.4 Pts 2.3 Reb 3.4 Ast,2.9,IND,Reportedly agreed to 2-yr $7M deal,
63,Khem Birch\birchkh01,C-F,26-314,RFA,ORL,4.8 Pts 3.8 Reb 0.8 Ast,2.8,ORL,Signed 2-yr $6M contracts,
64,George Hill\hillge01,G,33-096,UFA,MIL,7.6 Pts 2.5 Reb 2.3 Ast,2.8,MIL,Signed 3-yr $28.77M contract,
65,Robin Lopez\lopezro01,C,31-129,UFA,CHI,9.5 Pts 3.9 Reb 1.2 Ast,2.7,MIL,Signed 2-yr $9.77M contract,
66,Wesley Matthews\matthwe02,G,32-298,UFA,IND,12.2 Pts 2.5 Reb 2.3 Ast,2.7,MIL,Signed 2-yr $5.25M contract,
67,Cheick Diallo\diallch01,F,22-329,UFA,NOP,6.0 Pts 5.2 Reb 0.5 Ast,2.6,PHO,Signed 2-yr $1.67M deal,
68,Wayne Ellington\ellinwa01,G,31-252,UFA,DET,10.3 Pts 2.0 Reb 1.4 Ast,2.6,NYK,Signed 2-yr $16M contract,
69,James Ennis\ennisja01,F,29-038,UFA,PHI,6.7 Pts 3.1 Reb 0.7 Ast,2.6,PHI,Signed 2-yr $4.01M contract,
70,Rodney Hood\hoodro01,G-F,26-292,UFA,POR,11.2 Pts 2.2 Reb 1.8 Ast,2.6,POR,Signed 2-yr $11.72M contract,
71,Trevor Ariza\arizatr01,F,34-039,UFA,WAS,12.5 Pts 5.4 Reb 3.7 Ast,2.5,SAC,Signed 2-yr $25M contract,
72,Mike Muscala\muscami01,F-C,28-038,UFA,LAL,7.0 Pts 3.8 Reb 1.2 Ast,2.5,OKC,Signed 2-yr $4.31M contract,
73,DeMarcus Cousins\couside01,C-F,28-360,UFA,GSW,16.3 Pts 8.2 Reb 3.6 Ast,2.4,LAL,Signed 1-yr $3.5M contract,
74,Seth Curry\curryse01,G,28-350,UFA,POR,7.9 Pts 1.6 Reb 0.9 Ast,2.4,DAL,Signed 4-yr $32M contract,
76,Danuel House\houseda01,G,26-062,RFA,HOU,9.4 Pts 3.6 Reb 1.0 Ast,2.3,HOU,Signed 3-yr $11M contract,
77,Kyle Korver\korveky01,G-F,38-144,UFA,PHO,8.6 Pts 2.3 Reb 1.2 Ast,2.3,MIL,Reportedly agreed to 1-yr $2.6M deal,
80,Kelly Oubre\oubreke01,F,23-242,RFA,PHO,15.2 Pts 4.7 Reb 1.2 Ast,2.2,PHO,Signed 2-yr $30M contract,
81,Garrett Temple\templga01,G,33-092,UFA,LAC,7.8 Pts 2.9 Reb 1.4 Ast,2.2,BRK,Signed 2-yr $9.77M contract,
82,Tyson Chandler\chandty01,C,36-310,UFA,LAL,3.1 Pts 5.6 Reb 0.7 Ast,2.1,HOU,Signed 1-yr $2.56M contract,
83,Justin Holiday\holidju01,F,30-125,UFA,MEM,10.5 Pts 3.9 Reb 1.8 Ast,2.1,IND,Reportedly agreed to 1-yr $4.8M deal,
85,Tim Frazier\fraziti01,G,28-280,UFA,MIL,5.3 Pts 2.8 Reb 4.2 Ast,2,DET,Signed 1-yr $1.88M contract,
90,Gerald Green\greenge01,G-F,33-194,UFA,HOU,9.2 Pts 2.5 Reb 0.5 Ast,1.9,HOU,Signed 1-yr $2.56M contract,
91,Rodney McGruder\mcgruro01,G,28-010,RFA,LAC,7.6 Pts 3.6 Reb 1.7 Ast,1.9,LAC,Signed 3-yr $15M contract,
92,Quinn Cook\cookqu01,G,26-138,UFA,GSW,6.9 Pts 2.1 Reb 1.6 Ast,1.8,LAL,Signed 2-yr $6M contract,
93,Jared Dudley\dudleja01,F-G,34-029,UFA,BRK,4.9 Pts 2.6 Reb 1.4 Ast,1.8,LAL,Signed 1-yr $2.56M contract,
94,Frank Kaminsky\kaminfr01,F-C,26-126,UFA,CHO,8.6 Pts 3.5 Reb 1.3 Ast,1.8,PHO,Signed 2-yr $9.77M contract,
96,Ish Smith\smithis01,G,31-034,UFA,DET,8.9 Pts 2.6 Reb 3.6 Ast,1.7,WAS,Signed 2-yr $12M contract,
97,Jordan Bell\belljo01,F,24-213,UFA,GSW,3.3 Pts 2.7 Reb 1.1 Ast,1.6,MIN,Reportedly agreed to 1-yr $1.62M deal,
98,Darius Miller\milleda01,F,29-140,UFA,NOP,8.2 Pts 1.9 Reb 2.1 Ast,1.6,NOP,Signed 2-yr $14.24M contract,
99,Markieff Morris\morrima02,F,29-340,UFA,OKC,9.4 Pts 4.6 Reb 1.4 Ast,1.6,DET,Signed 2-yr $6.56M contract,
100,Bobby Portis\portibo01,F,24-179,UFA,WAS,14.2 Pts 8.1 Reb 1.4 Ast,1.6,NYK,Signed 2-yr $30.75M contract,
101,Mike Scott\scottmi01,F,31-023,UFA,PHI,5.8 Pts 3.5 Reb 0.8 Ast,1.6,PHI,Signed 2-yr $9.8M contract,
103,Alec Burks\burksal01,G,28-019,UFA,SAC,8.8 Pts 3.7 Reb 2.0 Ast,1.5,GSW,Signed 1-yr $2.32M contract,
104,Wilson Chandler\chandwi01,F,32-090,UFA,LAC,6.0 Pts 4.2 Reb 1.6 Ast,1.5,BRK,Signed 1-yr $2.56M contract,
106,Elfrid Payton\paytoel01,G,25-167,UFA,NOP,10.6 Pts 5.2 Reb 7.6 Ast,1.5,NYK,Reportedly agreed to 2-yr $16M deal,
111,Luke Kornet\kornelu01,F,24-024,UFA,NYK,7.0 Pts 2.9 Reb 1.2 Ast,1.4,CHI,Signed 2-yr $4.5M contract,
112,David Nwaba\nwabada01,G,26-206,UFA,CLE,6.5 Pts 3.2 Reb 1.1 Ast,1.4,BRK,Signed 2-yr $3.5M contract,
113,Jabari Parker\parkeja01,F,24-146,UFA,WAS,14.5 Pts 6.6 Reb 2.4 Ast,1.4,ATL,Signed 2-yr $13M contract,
116,Rajon Rondo\rondora01,G,33-167,UFA,LAL,9.2 Pts 5.3 Reb 8.0 Ast,1.3,LAL,Signed 2-yr $5.18M contract,
117,Rondae Hollis-Jefferson\holliro01,F,24-217,UFA,BRK,8.9 Pts 5.3 Reb 1.6 Ast,1.2,TOR,Signed 1-yr $1.73M contract,
118,Trey Lyles\lylestr01,F,23-276,UFA,DEN,8.5 Pts 3.8 Reb 1.4 Ast,1.2,SAS,Signed 2-yr $11M contract,
119,Austin Rivers\riverau01,G,27-007,UFA,HOU,8.1 Pts 2.1 Reb 2.2 Ast,1.2,HOU,Signed 2-yr $4.54M contract,
126,Raul Neto\netora01,G,27-081,UFA,UTA,5.3 Pts 1.7 Reb 2.5 Ast,1.1,PHI,Signed 1-yr $1.73M contract,
129,J.J. Barea\bareajo01,G,35-043,UFA,DAL,10.9 Pts 2.5 Reb 5.6 Ast,1,DAL,Reportedly agreed to 1-yr $2.565M deal,
131,Alex Caruso\carusal01,G,25-161,RFA,LAL,9.2 Pts 2.7 Reb 3.1 Ast,1,LAL,Signed 2-yr $5.5M contract,
133,Kyle O'Quinn\oquinky01,F-C,29-135,UFA,IND,3.5 Pts 2.6 Reb 1.2 Ast,1,PHI,Signed 1-yr $2.02M contract,
134,Brad Wanamaker\wanambr01,G,30-014,UFA,BOS,3.9 Pts 1.1 Reb 1.6 Ast,1,BOS,Signed 1-yr $1.44M contract,
138,Michael Carter-Williams\cartemi01,G,27-302,UFA,ORL,4.8 Pts 2.5 Reb 2.5 Ast,0.8,ORL,Signed 1-yr $2.02M contract,
140,Emmanuel Mudiay\mudiaem01,G,23-156,UFA,NYK,14.8 Pts 3.3 Reb 3.9 Ast,0.8,UTA,Signed 1-yr $1.73M contract,
144,Glenn Robinson\robingl02,G-F,25-212,UFA,DET,4.2 Pts 1.5 Reb 0.4 Ast,0.7,GSW,Signed 2-yr $3.95M contract,
149,Dragan Bender\bendedr01,F,21-264,UFA,PHO,5.0 Pts 4.0 Reb 1.2 Ast,0.5,MIL,Signed 2-yr $3.5M contract,
150,Stanley Johnson\johnsst04,F,23-071,UFA,NOP,6.9 Pts 3.3 Reb 1.3 Ast,0.5,TOR,Signed 2-yr $7.42M contract,
152,Patrick McCaw\mccawpa01,G,23-287,RFA,TOR,2.6 Pts 1.7 Reb 1.0 Ast,0.5,TOR,Signed 2-yr $8M contract,
160,Avery Bradley\bradlav01,G,28-255,UFA,MEM,9.9 Pts 2.8 Reb 2.4 Ast,0.3,LAL,Signed 2-yr $9.77M contract,
162,Troy Daniels\danietr01,G,28-024,UFA,PHO,6.2 Pts 1.4 Reb 0.5 Ast,0.3,LAL,Signed 1-yr $2.02M contract,
167,Devin Robinson\robinde01,F,24-154,UFA,WAS,6.7 Pts 2.9 Reb 0.9 Ast,0.3,TOR,Signed 1-yr $1.6M contract,
174,Tyler Lydon\lydonty01,F,23-121,UFA,DEN,0.9 Pts 0.7 Reb 0.2 Ast,0.2,SAC,Signed 2-yr $3.38M contract,
175,Ben McLemore\mclembe01,G,26-178,UFA,,3.9 Pts 0.9 Reb 0.2 Ast,0.2,HOU,Signed 2-yr $4.01M contract,
182,Edmond Sumner\sumneed01,G,23-220,RFA,IND,2.9 Pts 1.0 Reb 0.4 Ast,0.1,IND,Reportedly agreed to 3-yr $6.5M deal,
193,Theo Pinson\pinsoth01,G,23-276,UFA,BRK,4.5 Pts 2.0 Reb 1.2 Ast,0,BRK,Signed 2-yr $3.14M contract,
212,Isaiah Thomas\thomais02,G,30-182,UFA,DEN,8.1 Pts 1.1 Reb 1.9 Ast,-0.3,WAS,Signed 1-yr $2.32M contract,
213,Thanasis Antetokounmpo\antetth01,F,27-022,UFA,,Did not play,,MIL,Signed 2-yr $3.14M contract,
218,Nicolò Melli\mellini01,F,28-194,U,,Did not play,,NOP,Signed 2-yr $8M contract,
220,Kristaps Porzingis\porzikr01,F-C,24-006,RFA,DAL,Did not play,,DAL,Signed 5-yr $158.25M contract,
